City_Name,Zipcode,Positive_Cases,Total_Tested,black_population,commuters_by_public_transportation,county,employed_arts_entertainment_recreation_accommodation_food,employed_education_health_social,employed_pop,employed_transportation_warehousing_utilities,geo_id,hispanic_pop,percent_income_spent_on_rent,poverty,total_pop,white_pop,Tests_per_1000people,Positives_per_1000people
New York,11697,86,228,21,182,"Bronx County, Kings County, New York County, Queens County, Richmond County",92,421,1510,136,11697,229,,110,3540,3243,64.40677966,24.29378531
New York,10282,64,197,45,1298,"Bronx County, Kings County, New York County, Queens County, Richmond County",178,209,2895,13,10282,424,15.5,190,5593,3745,35.22259968,11.44287502
New York,10022,312,1278,373,7631,"Bronx County, Kings County, New York County, Queens County, Richmond County",1353,3735,19791,245,10022,1686,24,1149,31125,24521,41.06024096,10.02409639
New York,10024,596,2217,1731,23107,"Bronx County, Kings County, New York County, Queens County, Richmond County",2682,8302,34684,274,10024,6420,24,4197,59001,45305,37.57563431,10.1015237
New York,10023,512,2062,2348,19883,"Bronx County, Kings County, New York County, Queens County, Richmond County",2933,7468,35596,333,10023,6562,24,5014,62435,45242,33.0263474,8.20052855
New York,11231,378,1102,4606,12221,"Bronx County, Kings County, New York County, Queens County, Richmond County",1834,3838,20101,511,11231,7047,25,5799,37845,21942,29.11877395,9.988109394
New York,10069,49,198,148,1767,"Bronx County, Kings County, New York County, Queens County, Richmond County",110,682,2880,0,10069,57,27,522,5085,3123,38.9380531,9.636184857
New York,11379,745,1945,324,7929,"Bronx County, Kings County, New York County, Queens County, Richmond County",1410,4915,18800,1413,11379,7621,28,3167,37851,25050,51.38569655,19.68243904
New York,10035,853,2108,13227,9921,"Bronx County, Kings County, New York County, Queens County, Richmond County",2349,3965,13896,681,10035,15935,30,13064,35743,3638,58.97658283,23.86481269
New York,11239,463,1110,7778,2726,"Bronx County, Kings County, New York County, Queens County, Richmond County",327,1747,4887,431,11239,2507,31,3765,13244,2487,83.8115373,34.95922682
New York,11414,763,1709,518,3574,"Bronx County, Kings County, New York County, Queens County, Richmond County",1220,3810,13174,991,11414,6513,34,3370,29219,19824,58.48933913,26.11314556
New York,10466,2174,5033,50054,15562,"Bronx County, Kings County, New York County, Queens County, Richmond County",2415,13173,32677,2469,10466,15971,36,14086,72479,2074,69.44080354,29.99489507
New York,11203,1877,4304,65073,20595,"Bronx County, Kings County, New York County, Queens County, Richmond County",1910,13563,34893,3191,11203,4846,36,12075,75451,2881,57.04364422,24.87707254
New York,11220,1383,3288,1557,26314,"Bronx County, Kings County, New York County, Queens County, Richmond County",10239,8647,44540,2201,11220,39840,36,27959,95643,13452,34.3778426,14.46002321
New York,11435,1488,3457,13287,17150,"Bronx County, Kings County, New York County, Queens County, Richmond County",3598,7207,29557,3008,11435,18428,32.5,9220,59296,6737,58.30072855,25.09444145
New York,10301,1075,2799,8200,6896,"Bronx County, Kings County, New York County, Queens County, Richmond County",1446,5300,16648,674,10301,9591,32.5,8477,38733,16456,72.26396096,27.75411148
