,county_FIPS,state_FIPS,county,state,total_pop,pc_white,pc_black,pc_hispanic,pc_income_below_poverty_line,percent_income_spent_on_rent,pc_pub_trans_commuters,pc_emp_education_health_social,pc_emp_arts_entertainment_recreation_accommodation_food,pc_emp_transportation_warehousing_utilities,HPSA_Score,Jan_22,Jan_23,Jan_24,Jan_25,Jan_26,Jan_27,Jan_28,Jan_29,Jan_30,Jan_31,Feb_1,Feb_2,Feb_3,Feb_4,Feb_5,Feb_6,Feb_7,Feb_8,Feb_9,Feb_10,Feb_11,Feb_12,Feb_13,Feb_14,Feb_15,Feb_16,Feb_17,Feb_18,Feb_19,Feb_20,Feb_21,Feb_22,Feb_23,Feb_24,Feb_25,Feb_26,Feb_27,Feb_28,Feb_29,Mar_1,Mar_2,Mar_3,Mar_4,Mar_5,Mar_6,Mar_7,Mar_8,Mar_9,Mar_10,Mar_11,Mar_12,Mar_13,Mar_14,Mar_15,Mar_16,Mar_17,Mar_18,Mar_19,Mar_20,Mar_21,Mar_22,Mar_23,Mar_24,Mar_25,Mar_26,Mar_27,Mar_28,Mar_29,Mar_30,Mar_31,Apr_1,Apr_2,Apr_3,Apr_4,Apr_5,Apr_6,Apr_7,Apr_8,Apr_9,Apr_10,Apr_11,Apr_12,Apr_13,Apr_14,Apr_15,Apr_16,Apr_17,Apr_18,Apr_19,Apr_20,Apr_21,Apr_22,Apr_23,Apr_24,Apr_25,Apr_26,Apr_27,Apr_28,Apr_29,Apr_30,May_1,May_2,May_3,May_4,May_5,May_6,May_7,May_8,May_9,May_10,May_11,May_12
0,36001,36,Albany,New York,307426,0.726415463,0.116873654,0.058306714,0.113585058,29.5,0.059490723,0.275551466,0.089323719,0.034621548,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,5,8,12,23,36,43,61,123,123,127,146,152,171,187,195,205,217,226,240,253,267,293,305,319,333,342,379,426,446,478,499,535,548,581,619,648,682,687,704,737,758,805,899,948,979,1009,1067,1165,1204,1238,1258,1287,1294,1321,1348,1384,1416,1432,1456,1479
1,36003,36,Allegany,New York,47025,0.943987241,0.013588517,0.015821372,0.151961722,31,0.004892905,0.336811623,0.081481851,0.040990564,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,6,7,7,9,12,14,16,16,17,17,21,22,26,26,26,26,28,28,28,29,30,30,30,30,30,30,31,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,38,42
2,36005,36,Bronx,New York,1437872,0.093105645,0.29298505,0.558906495,0.283424394,35.7,0.581274123,0.324790945,0.123174914,0.075474644,18.58461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,10,13,13,21,34,96,303,496,667,1071,1411,1829,2328,3542,4243,4655,5752,6250,6925,7814,8607,9343,11086,12315,13368,14327,15348,16626,17792,19160,20477,21441,22205,23266,24653,25932,27035,28019,28823,29372,30142,31130,31659,32701,34183,34970,35556,35994,36600,37244,37785,38450,38916,39223,39476,39839,40181,40533,40804,41059,41296,41441
3,36007,36,Broome,New York,194402,0.837810311,0.051681567,0.041018097,0.161258629,32.3,0.032148182,0.312352334,0.099082464,0.04228696,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2,2,3,7,9,11,16,18,23,29,35,38,42,46,56,65,71,76,86,88,105,112,117,126,133,146,153,167,178,186,192,199,205,219,224,232,251,257,261,266,273,284,299,305,327,334,338,345,360,364,372,373,378,379
4,36009,36,Cattaraugus,New York,77686,0.906533996,0.015755735,0.020660093,0.159758515,28.9,0.003213329,0.267539423,0.105801845,0.047009819,14.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,6,6,7,8,9,9,10,12,13,15,17,18,19,28,28,32,32,32,34,34,34,34,35,37,37,39,45,45,45,45,47,47,49,50,53,53,53,54,59,59,60,60,61,61
5,36011,36,Cayuga,New York,77868,0.902553038,0.041621719,0.028663893,0.109968151,27.3,0.006522514,0.274137411,0.084683055,0.048864041,10.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,3,3,4,6,7,8,11,14,14,16,27,28,29,30,33,36,36,36,36,36,36,36,36,37,39,47,47,48,48,48,48,51,51,51,51,51,51,52,52,53,58,60,60
6,36013,36,Chautauqua,New York,129656,0.875593879,0.022945332,0.07392639,0.179251249,32.1,0.003695043,0.275842987,0.100622981,0.04332304,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,5,5,6,6,8,9,10,11,15,16,17,18,20,21,22,23,23,24,24,25,25,25,25,25,26,26,27,27,29,30,30,31,33,35,35,36,37,37,38,40,40,40,41,41,42
7,36015,36,Chemung,New York,85740,0.863972475,0.057616049,0.03026592,0.13991136,31,0.019108451,0.288693272,0.08341161,0.038780494,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,11,12,15,15,20,22,22,35,36,38,47,49,55,59,59,60,60,60,64,69,70,71,72,73,73,75,75,76,79,103,106,108,113,119,122,123,124,125,126,126,128,129,130,131,131,131,131
8,36017,36,Chenango,New York,48348,0.948250186,0.00887317,0.021469347,0.140564243,29.6,0.002374212,0.270888503,0.055246096,0.037576477,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,3,3,4,8,15,17,19,26,28,32,39,43,46,51,53,55,60,61,63,65,68,71,73,76,77,78,78,79,79,82,84,91,93,95,95,96,98,99,99,99,100,100,102,105,105,109,109,111,112
9,36019,36,Clinton,New York,80794,0.899881179,0.040807486,0.028591232,0.138401366,28,0.006295064,0.276400444,0.100138658,0.052079867,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,4,6,8,10,11,11,12,13,17,21,25,25,30,31,33,36,37,39,40,43,43,43,44,45,45,46,47,48,49,51,51,51,52,53,54,57,59,59,59,59,61,62,66,68,69,69,69,74,76,76,76,77
