,zipcode,area,cases,pc_positive,rate_p100000,num_zc_in_area,avg_zipcode_cases,avg_zipcode_pc_positive,avg_zipcode_rate_p100000,state_name,county,total_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
0,2122,Dorchester ,4661,0.348,5878.0,2.0,2330.5,0.174,2939.0,Massachusetts,Suffolk County,25059.0,7840.0,7532.0,2890.0,4599.0,35.4,13533.0,4707.0,3155.0,1530.0,699.0
1,2124,Dorchester ,4661,0.348,5878.0,2.0,2330.5,0.174,2939.0,Massachusetts,Suffolk County,55821.0,9309.0,31205.0,9746.0,12066.0,33.3,27168.0,9717.0,9105.0,2618.0,1996.0
2,2121,Dorchester ,3865,0.36200000000000004,6398.0,2.0,1932.5,0.18100000000000002,3199.0,Massachusetts,Suffolk County,29919.0,860.0,18534.0,9408.0,10351.0,35.6,12597.0,5344.0,4527.0,1408.0,810.0
3,2125,Dorchester ,3865,0.36200000000000004,6398.0,2.0,1932.5,0.18100000000000002,3199.0,Massachusetts,Suffolk County,34358.0,10258.0,10705.0,7394.0,7862.0,34.4,17802.0,6457.0,4998.0,1694.0,769.0
4,2128,East Boston ,3053,0.387,7057.0,1.0,3053.0,0.387,7057.0,Massachusetts,Suffolk County,46927.0,15569.0,1267.0,26451.0,9036.0,29.8,26402.0,14393.0,3878.0,6920.0,1496.0
5,2136,Hyde Park,2947,0.301,8745.0,1.0,2947.0,0.301,8745.0,Massachusetts,Suffolk County,34223.0,8695.0,14586.0,9278.0,4863.0,34.6,17606.0,4379.0,6674.0,1236.0,932.0
6,2111,South End,2476,0.285,7308.0,2.0,1238.0,0.1425,3654.0,Massachusetts,Suffolk County,7926.0,2767.0,311.0,440.0,1657.0,32.4,3788.0,896.0,1007.0,861.0,9.0
7,2118,South End,2476,0.285,7308.0,2.0,1238.0,0.1425,3654.0,Massachusetts,Suffolk County,27830.0,12753.0,4981.0,5093.0,6516.0,30.8,14943.0,4061.0,4434.0,1105.0,265.0
8,2130,Jamaica Plain,2073,0.28,5856.0,1.0,2073.0,0.28,5856.0,Massachusetts,Suffolk County,40377.0,22868.0,4439.0,8949.0,5967.0,28.1,23820.0,9684.0,9703.0,2149.0,345.0
9,2126,Mattapan,1686,0.368,7676.0,1.0,1686.0,0.368,7676.0,Massachusetts,Suffolk County,29591.0,1213.0,22560.0,4686.0,5900.0,35.1,14476.0,4653.0,5212.0,1366.0,1084.0
10,2131,​Roslindale,1937,0.299,6494.0,1.0,1937.0,0.299,6494.0,Massachusetts,Suffolk County,33771.0,15865.0,7386.0,8844.0,4001.0,31.6,18598.0,4909.0,6164.0,1809.0,892.0
11,2163,Allston/Brighton,2397,0.267,3448.0,3.0,799.0,0.08900000000000001,1149.3333333333333,Massachusetts,Suffolk County,2401.0,1318.0,75.0,325.0,262.0,51.0,518.0,138.0,260.0,46.0,15.0
12,2134,Allston/Brighton,2397,0.267,3448.0,3.0,799.0,0.08900000000000001,1149.3333333333333,Massachusetts,Suffolk County,19424.0,10655.0,756.0,2380.0,5164.0,33.4,12598.0,4807.0,4656.0,1429.0,196.0
13,2135,Allston/Brighton,2397,0.267,3448.0,3.0,799.0,0.08900000000000001,1149.3333333333333,Massachusetts,Suffolk County,44760.0,29455.0,1764.0,5388.0,7716.0,28.6,29006.0,9611.0,10141.0,2675.0,583.0
14,2119,Roxbury,2659,0.293,6561.0,2.0,1329.5,0.1465,3280.5,Massachusetts,Suffolk County,28199.0,3384.0,14114.0,8372.0,9296.0,34.2,12551.0,5109.0,4016.0,1143.0,862.0
