,state,county,area,num_zc_in_area,zipcode,cases_final,case_rate_final,adj_case_rate_final,deaths_final,death_rate_final,adj_death_rate_final,persons_tested_final,testing_rate_final,adj_testing_rate_final,population,acs_zipcode_pop,white_pop,black_pop,hispanic_pop,poverty,percent_income_spent_on_rent,acs_zipcode_employed_pop,commuters_by_public_transportation,employed_education_health_social,employed_arts_entertainment_recreation_accommodation_food,employed_transportation_warehousing_utilities
0,California,Los Angeles County,Los Angeles - Adams-Normandie,1,90007,33,33,401.37,2,24.38,27.72,58,707.14,715.61,8202,41716,6506,4418,20987,15815,43.8,17181,2728,5351,1973,852
1,California,Los Angeles County,Los Angeles - Alsace,1,90066,37,37,284.03,0,0,0,103,827.64,828.54,12445,59394,28180,2321,17187,6053,30.2,34196,2313,6969,5606,1293
3,California,Los Angeles County,Los Angeles - Angelino Heights,1,90026,11,11,364.33,0,0,0,22,879.3,802.11,2502,69589,18118,2351,36452,13614,31,39166,5221,6800,6541,1550
4,California,Los Angeles County,Los Angeles - Arleta,1,91331,182,182,522.72,3,8.73,6.95,315,916.5,902.72,34370,105799,4728,3105,91446,18401,39.5,48842,2512,8995,4702,2571
5,California,Los Angeles County,Los Angeles - Atwater Village,1,90039,39,39,253.51,2,13.64,10.93,133,906.86,891.02,14666,29589,11412,356,11865,2893,28.3,16579,690,3642,2889,459
6,California,Los Angeles County,Los Angeles - Baldwin Hills,1,90008,99,99,301.49,7,22.49,18.75,322,1034.54,986.95,31125,31739,1388,20640,7619,6926,43.4,14597,1524,4380,1223,1290
7,California,Los Angeles County,Los Angeles - Bel Air,1,90077,32,32,333.04,1,11.86,5.64,197,2337.17,2553.09,8429,8993,7079,197,528,362,15.6,4225,0,1156,371,70
8,California,Los Angeles County,Los Angeles - Beverly Crest,1,90210,35,35,281.85,2,15.97,9.05,220,1756.49,1766.26,12525,19909,16338,198,829,1522,29,8687,91,1846,887,184
9,California,Los Angeles County,Los Angeles - Beverlywood,1,90034,34,34,252.72,0,0,0,225,1708.04,1725.11,13173,41868.5,20956,3570,8692,4775.5,31.45,25648.5,1865.5,5440,3297,1359.5
,California,Los Angeles County,Los Angeles - Boyle Heights,1,90023,360,360,421.56,9,10.36,12.2,566,651.44,679.76,86884,49104.66667,1155.333333,491.6666667,46256.66667,12524,34.63333333,20995.33333,2521,3702.666667,2486.333333,1379.666667
14,California,Los Angeles County,Los Angeles - Brentwood,1,90049,71,71,208.83,1,3.23,2.58,525,1696.01,1550.95,30955,36964,29579,629,2173,2581,29.2,20096,572,4553,1837,184
15,California,Los Angeles County,Los Angeles - Cadillac-Corning,1,90034,25,25,381.43,0,0,0,62,870.66,879.14,7121,55652,22194,5333,14399,6200,29.3,35889,2959,7819,4273,1168
,California,"Ventura County, Los Angeles County",Los Angeles - Canoga Park,1,91307,406,406,630.43,18,27.57,36.31,617,945.03,923.29,65289,40141.75,13633.5,1663.5,17592.5,5201.25,35.225,20806.25,1154.75,4127,2487.5,676
20,California,Los Angeles County,Los Angeles - Carthay,1,90048,71,71,499.16,7,48.74,19.99,430,2993.8,3353.99,14363,22892,17337,777,1860,1823,30,14618,303,2479,2074,285
,California,Los Angeles County,Los Angeles - Central,1,90013,216,216,597.13,8,20.52,31.57,251,643.72,724.74,38992,23925,4552,4146,6113,6589.5,32.6,9515,1441,1806,1475,291
23,California,Los Angeles County,Los Angeles - Century City,1,90067,32,32,249.68,0,0,0,217,1696.37,1657.74,12792,2314,1628,26,85,96,51,815,13,241,42,9
24,California,Los Angeles County,Los Angeles - Century Palms/Cove,1,90304,141,141,445.52,1,2.96,2.71,204,604.16,674.23,33766,25591,488,750,23296,5678,36.2,12422,869,1387,2704,1074
25,California,Los Angeles County,Los Angeles - Chatsworth,1,91311,141,141,338.1,17,45.87,29.16,404,1090.09,993.79,37061,40420,19676,1716,10525,2944,33.4,21314,653,5417,1565,903
26,California,Los Angeles County,Los Angeles - Cheviot Hills,1,90064,19,19,213.12,1,10.9,5.07,144,1570.17,1649.72,9171,25429,16107,675,3130,2362,30.5,13725,378,2999,1364,328
27,California,Los Angeles County,Los Angeles - Chinatown,1,90012,13,13,168.1,1,12.47,10.28,61,760.5,747.63,8021,35913,5595,4695,10366,7832,33,13631,1639,2622,2052,467
30,California,Los Angeles County,Los Angeles - Country Club Park,1,90019,80,80,441.89,17,112.19,85.87,129,851.32,781.13,15153,66245,9632,12588,30746,11450,34,35567,4115,7017,5930,1080
